funcid,dim,milestone,error
29,10,1,2.966269e+02
29,10,2,2.936155e+02
29,10,3,2.933028e+02
29,10,5,2.931529e+02
29,10,10,2.920843e+02
29,10,20,2.892193e+02
29,10,30,2.882638e+02
29,10,40,2.852003e+02
29,10,50,2.849855e+02
29,10,60,2.848034e+02
29,10,70,2.846865e+02
29,10,80,2.845123e+02
29,10,90,2.844438e+02
29,10,100,2.844255e+02
29,10,1,3.776883e+02
29,10,2,3.724410e+02
29,10,3,3.704936e+02
29,10,5,3.693456e+02
29,10,10,3.564567e+02
29,10,20,3.401647e+02
29,10,30,3.394552e+02
29,10,40,3.394147e+02
29,10,50,3.393354e+02
29,10,60,3.390388e+02
29,10,70,3.390001e+02
29,10,80,3.390001e+02
29,10,90,3.389665e+02
29,10,100,3.389616e+02
29,10,1,3.776883e+02
29,10,2,3.724410e+02
29,10,3,3.704936e+02
29,10,5,3.602818e+02
29,10,10,3.501085e+02
29,10,20,3.415689e+02
29,10,30,3.411189e+02
29,10,40,3.388081e+02
29,10,50,3.360752e+02
29,10,60,3.357783e+02
29,10,70,3.354690e+02
29,10,80,3.352779e+02
29,10,90,3.352777e+02
29,10,100,3.351442e+02
