funcid,dim,milestone,error
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
24,10,1,4.803623e+02
24,10,2,4.803623e+02
24,10,3,4.803623e+02
24,10,5,4.687438e+02
24,10,10,4.457214e+02
24,10,20,4.457214e+02
24,10,30,4.242972e+02
24,10,40,4.242972e+02
24,10,50,3.743921e+02
24,10,60,2.876148e+02
24,10,70,2.876148e+02
24,10,80,2.876148e+02
24,10,90,2.876148e+02
24,10,100,2.876148e+02
24,10,1,5.179166e+02
24,10,2,4.515540e+02
24,10,3,3.854588e+02
24,10,5,3.187227e+02
24,10,10,3.187227e+02
24,10,20,3.187227e+02
24,10,30,3.174437e+02
24,10,40,3.174437e+02
24,10,50,3.174437e+02
24,10,60,3.174437e+02
24,10,70,3.174437e+02
24,10,80,3.174437e+02
24,10,90,3.174437e+02
24,10,100,3.174437e+02
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
24,10,1,3.569761e+02
24,10,2,3.569761e+02
24,10,3,3.569761e+02
24,10,5,3.569761e+02
24,10,10,3.569761e+02
24,10,20,3.339663e+02
24,10,30,3.339663e+02
24,10,40,3.339663e+02
24,10,50,3.339663e+02
24,10,60,3.339663e+02
24,10,70,3.339663e+02
24,10,80,3.339663e+02
24,10,90,3.071326e+02
24,10,100,3.071326e+02
